"","genus_1","genus_2","char"
"145","Bromus","Delphinium","interactsWith"
"146","Bromus","Digitaria","interactsWith"
"147","Bromus","Eleocharis","interactsWith"
"148","Bromus","Elymus","interactsWith"
"149","Bromus","Eragrostis","interactsWith"
"150","Bromus","Erigeron","interactsWith"
"151","Bromus","Euphorbia","interactsWith"
"152","Bromus","Gaura","interactsWith"
"153","Bromus","Geranium","interactsWith"
"154","Bromus","Hordeum","interactsWith"
"155","Bromus","Juniperus","interactsWith"
"156","Bromus","Lactuca","interactsWith"
"157","Bromus","Lepidium","interactsWith"
"158","Bromus","Liatris","interactsWith"
"159","Bromus","Lithospermum","interactsWith"
"160","Bromus","Lomatium","interactsWith"
"161","Bromus","Mirabilis","interactsWith"
"162","Bromus","Muhlenbergia","interactsWith"
"163","Bromus","Oenothera","interactsWith"
"164","Bromus","Oligoneuron","interactsWith"
"165","Bromus","Oxalis","interactsWith"
"166","Bromus","Panicum","interactsWith"
"167","Bromus","Pediomelum","interactsWith"
"168","Bromus","Penstemon","interactsWith"
"169","Bromus","Plantago","interactsWith"
"170","Bromus","Poa","interactsWith"
"171","Bromus","Ratibida","interactsWith"
"172","Bromus","Rhus","interactsWith"
"173","Bromus","Rosa","interactsWith"
"174","Bromus","Salvia","interactsWith"
"175","Bromus","Schizachyrium","interactsWith"
"176","Bromus","Silene","interactsWith"
"177","Bromus","Sisyrinchium","interactsWith"
"178","Bromus","Solanum","interactsWith"
"179","Bromus","Solidago","interactsWith"
"180","Bromus","Sporobolus","interactsWith"
"181","Bromus","Symphoricarpos","interactsWith"
"182","Bromus","Symphyotrichum","visitsFlowersOf"
"183","Bromus","Symphyotrichum","interactsWith"
"184","Bromus","Tragopogon","interactsWith"
"185","Bromus","Ulmus","interactsWith"
"186","Bromus","Verbena","interactsWith"
"187","Bromus","Vicia","interactsWith"
"188","Bromus","Viola","interactsWith"
"189","Bromus","Draba","interactsWith"
"190","Bromus","Opuntia","interactsWith"
