,db,query,class
1,itis,Dipodomys,Mammalia
2,itis,Onychomys,Mammalia
3,itis,Perognathus,Mammalia
4,itis,Peromyscus,Mammalia
5,itis,Arabis,Magnoliopsida
6,itis,Aristida,Magnoliopsida
7,itis,Artemisia,Magnoliopsida
8,itis,Astragalus,Magnoliopsida
9,itis,Bahia,Magnoliopsida
10,itis,Bouteloua,Magnoliopsida
11,itis,Chamaesyce,Eudicots
12,itis,Cylindropuntia,Magnoliopsida
13,itis,Dalea,Magnoliopsida
14,itis,Echinocereus,Magnoliopsida
15,itis,Elymus,Magnoliopsida
16,itis,Erigeron,Magnoliopsida
17,itis,Eriogonum,Magnoliopsida
18,itis,Gutierrezia,Magnoliopsida
19,itis,Lesquerella,Eudicots
20,itis,Lycurus,Magnoliopsida
21,itis,Mirabilis,Magnoliopsida
22,itis,Muhlenbergia,Magnoliopsida
23,itis,Nerisyrenia,Magnoliopsida
24,itis,Opuntia,Magnoliopsida
25,itis,Pectis,Magnoliopsida
26,itis,Pinus,Pinopsida
27,itis,Pleuraphis,Monocots
28,itis,Poa,Magnoliopsida
29,itis,Quercus,Magnoliopsida
30,itis,Rhus,Magnoliopsida
31,itis,Solanum,Magnoliopsida
32,itis,Sphaeralcea,Magnoliopsida
33,itis,Sporobolus,Magnoliopsida
34,itis,Yucca,Magnoliopsida
35,itis,Campostoma,Teleostei
36,itis,Etheostoma,Teleostei
37,itis,Phoxinus,Teleostei
38,itis,Catostomus,Teleostei
39,itis,Semotilis,Actinopterygii
40,itis,Blarina,Mammalia
41,itis,Reithrodontomys,Mammalia
42,itis,Neotoma,Mammalia
43,itis,Anthopleura,Anthozoa
44,itis,Balanophyllia,Anthozoa
45,itis,Chaceia,Bivalvia
46,itis,Conus,Gastropoda
47,itis,Cucumaria,Holothuroidea
48,itis,Cypraea,Gastropoda
49,itis,Diopatra,Polychaeta
50,itis,Eupentacta,Holothuroidea
51,itis,Kelletia,Gastropoda
52,itis,Lithopoma,Gastropoda
53,itis,Lytechinus,Echinoidea
54,itis,Mitra,Gastropoda
55,itis,Ophioplocus,Ophiuroidea
56,itis,Ophiothrix,Ophiuroidea
57,itis,Pachycerianthus,Anthozoa
58,itis,Paracyathus,Anthozoa
59,itis,Parapholas,Bivalvia
60,itis,Strongylocentrotus,Echinoidea
61,itis,Styela,Ascidiacea
62,itis,Tethya,Demospongiae
63,itis,Turban,Gastropoda
64,itis,Urticina,Anthozoa
65,itis,Aplysia,Gastropoda
66,itis,Cancer,Malacostraca
67,itis,Lophogorgia,Anthozoa
68,itis,Loxorhynchus,Malacostraca
69,itis,Megathura,Gastropoda
70,itis,Muricea,Anthozoa
71,itis,Parastichopus,Holothuroidea
72,itis,Patiria,Asteroidea
73,itis,Pisaster,Asteroidea
74,itis,Pycnopodia,Asteroidea
75,itis,Crassedoma,Bivalvia
76,itis,Dermasterias,Asteroidea
77,itis,Archidistoma,Ascidiacea
78,itis,Astrangia,Anthozoa
79,itis,Bossiella,Florideophyceae
80,itis,Callophyllis,Florideophyceae
81,itis,Chondracanthus,Maxillopoda
82,itis,Compound,Gastropoda
83,itis,Corallina,Florideophyceae
84,itis,Corynactis,Anthozoa
85,itis,Cryptopleura,Florideophyceae
86,itis,Cystoseira,Phaeophyceae
87,itis,Desmarestia,Phaeophyceae
88,itis,Diaperoforma,Stenolaemata
89,itis,Encrusting coralline,Rhodophyta
90,itis,Encrusting sponge,Porifera
91,itis,Filamentous brown,Phaeophyceae
92,itis,Filamentous red,Rhodophyta
93,itis,Gelidium,Florideophyceae
94,itis,Gracilaria,Florideophyceae
95,itis,Laurencia,Florideophyceae
96,itis,Macrocystis,Phaeophyceae
97,itis,Pterygophora,Phaeophyceae
98,itis,Red Algal Turf,Rhodophyta
99,itis,Rhodymenia,Florideophyceae
100,itis,Spheciospongia,Demospongiae
101,itis,Ulva,Ulvophyceae
102,itis,Unidentified hydroid,Hydrozoa
103,itis,Aglaophenia,Hydrozoa
104,itis,Blady red,Rhodophyta
105,itis,Dictyota,Phaeophyceae
106,itis,Sabellid,Polychaeta
107,itis,Taonia,Phaeophyceae
108,itis,Thalamoporella,Gymnolaemata
109,itis,Encrusting red algae,Rhodophyta
110,itis,Polyneura,Florideophyceae
111,itis,Bugula,Gymnolaemata
112,itis,Calliarthron,Florideophyceae
113,itis,Crisia,Stenolaemata
114,itis,Leucilla,Calcarea
115,itis,Achillea,Magnoliopsida
116,itis,Agrostis,Magnoliopsida
117,itis,Ambrosia,Magnoliopsida
118,itis,Amorpha,Magnoliopsida
119,itis,Andropogon,Magnoliopsida
120,itis,Antennaria,Magnoliopsida
121,itis,Apocynum,Magnoliopsida
122,itis,Asclepias,Magnoliopsida
123,itis,Baptisia,Magnoliopsida
124,itis,Brickellia,Magnoliopsida
125,itis,Bromus,Magnoliopsida
126,itis,Buchloe,Monocots
127,itis,Callirhoe,Magnoliopsida
128,itis,Calylophus,Eudicots
129,itis,Calystegia,Magnoliopsida
130,itis,Carex,Magnoliopsida
131,itis,Ceanothus,Magnoliopsida
132,itis,Cirsium,Magnoliopsida
133,itis,Comandra,Magnoliopsida
134,itis,Conyza,Magnoliopsida
135,itis,Cyperus,Magnoliopsida
136,itis,Delphinium,Magnoliopsida
137,itis,Desmodium,Magnoliopsida
138,itis,Dichanthelium,Magnoliopsida
139,itis,Digitaria,Monocots
140,itis,Echinacea,Magnoliopsida
141,itis,Eleocharis,Magnoliopsida
142,itis,Eragrostis,Magnoliopsida
143,itis,Euphorbia,Magnoliopsida
144,itis,Gaura,Eudicots
145,itis,Geranium,Magnoliopsida
146,itis,Gleditsia,Magnoliopsida
147,itis,Hieracium,Magnoliopsida
148,itis,Hordeum,Magnoliopsida
149,itis,Hybanthus,Magnoliopsida
150,itis,Hymenopappus,Magnoliopsida
151,itis,Juniperus,Pinopsida
152,itis,Koeleria,Magnoliopsida
153,itis,Lactuca,Magnoliopsida
154,itis,Lepidium,Magnoliopsida
155,itis,Lespedeza,Magnoliopsida
156,itis,Liatris,Magnoliopsida
157,itis,Linum,Magnoliopsida
158,itis,Lithospermum,Magnoliopsida
159,itis,Lomatium,Magnoliopsida
160,itis,Mimosa,Magnoliopsida
161,itis,Oenothera,Magnoliopsida
162,itis,Oligoneuron,Magnoliopsida
163,itis,Onosmodium,Magnoliopsida
164,itis,Oxalis,Magnoliopsida
165,itis,Packera,Magnoliopsida
166,itis,Panicum,Magnoliopsida
167,itis,Pediomelum,Magnoliopsida
168,itis,Penstemon,Magnoliopsida
169,itis,Physalis,Magnoliopsida
170,itis,Plantago,Magnoliopsida
171,itis,Psoralea,Magnoliopsida
172,itis,Ratibida,Magnoliopsida
173,itis,Rosa,Magnoliopsida
174,itis,Ruellia,Magnoliopsida
175,itis,Salvia,Magnoliopsida
176,itis,Schizachyrium,Magnoliopsida
177,itis,Silene,Magnoliopsida
178,itis,Silphium,Magnoliopsida
179,itis,Sisyrinchium,Magnoliopsida
180,itis,Solidago,Magnoliopsida
181,itis,Sorghastrum,Magnoliopsida
182,itis,Spermolepis,Magnoliopsida
183,itis,Sphenopholis,Magnoliopsida
184,itis,Stenosiphon,Eudicots
185,itis,Symphoricarpos,Magnoliopsida
186,itis,Symphyotrichum,Magnoliopsida
187,itis,Teucrium,Magnoliopsida
188,itis,Tragia,Magnoliopsida
189,itis,Tragopogon,Magnoliopsida
190,itis,Triodanis,Magnoliopsida
191,itis,Ulmus,Magnoliopsida
192,itis,Verbena,Magnoliopsida
193,itis,Vernonia,Magnoliopsida
194,itis,Viola,Magnoliopsida
195,itis,Cornus,Magnoliopsida
196,itis,Glandularia,Magnoliopsida
197,itis,Monarda,Magnoliopsida
198,itis,Pascopyrum,Magnoliopsida
199,itis,Scutellaria,Magnoliopsida
200,itis,Tridens,Magnoliopsida
201,itis,Eupatorium,Magnoliopsida
202,itis,Hedyotis,Magnoliopsida
203,itis,Acalypha,Magnoliopsida
204,itis,Celtis,Magnoliopsida
205,itis,Chloris,Monocots
206,itis,Hedeoma,Magnoliopsida
207,itis,Juncus,Magnoliopsida
208,itis,Polygonum,Magnoliopsida
209,itis,Geum,Magnoliopsida
210,itis,Vulpia,Magnoliopsida
211,itis,Croton,Magnoliopsida
212,itis,Helianthus,Magnoliopsida
213,itis,Prunus,Magnoliopsida
214,itis,Chaerophyllum,Magnoliopsida
215,itis,Kummerowia,Magnoliopsida
216,itis,Rubus,Magnoliopsida
217,itis,Senna,Magnoliopsida
218,itis,Desmanthus,Magnoliopsida
219,itis,Grindelia,Magnoliopsida
220,itis,Torilis,Magnoliopsida
221,itis,Toxicodendron,Magnoliopsida
222,itis,Rumex,Magnoliopsida
223,itis,Ageratum,Magnoliopsida
224,itis,Schedonnardus,Magnoliopsida
225,itis,Medicago,Magnoliopsida
226,itis,Zanthoxylum,Magnoliopsida
227,itis,Brachyistius,Teleostei
228,itis,Chromis,Teleostei
229,itis,Embiotoca,Teleostei
230,itis,Girella,Teleostei
231,itis,Hypsypops,Teleostei
232,itis,Oxyjulis,Teleostei
233,itis,Paralabrax,Teleostei
234,itis,Phanerodon,Teleostei
235,itis,Rhacochilus,Teleostei
236,itis,Scorpaenichthys,Teleostei
237,itis,Sebastes,Teleostei
238,itis,Semicossyphus,Teleostei
239,itis,Cottid,Teleostei
240,itis,Gibbonsia,Teleostei
241,itis,Heterostichus,Teleostei
242,itis,Hypsurus,Teleostei
243,itis,Leiocottus,Teleostei
244,itis,Neoclinus,Teleostei
245,itis,Ophiodon,Teleostei
246,itis,Oxylebius,Teleostei
247,itis,Rhinogobiops,Teleostei
248,itis,Cymatogaster,Teleostei
249,itis,Octopus,Cephalopoda
250,itis,Hoffmannseggia,Magnoliopsida
251,itis,Larrea,Magnoliopsida
